rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
7,7,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,24913683,1.9,1177489,5,767379797,2485,87,3.6,74222,218,365,20230323
8,8,-1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,28195300,2.2,-28343300,-50.1,6243686500,2256,-2544,-53,507507,178,403,20230323
9,9,0,OLD,20230199,플레인,2023-03-15,13738193,1.1,773700,6,303908720,1700,-146,-7.9,33046,148,193,20230323
10,10,1,OLD,20230495,아임 히어로 더 파이널,2023-03-01,27087000,2.1,1408500,5.5,5284109500,1129,59,5.5,218529,50,118,20230323
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,710848051,50.0,124037866,21.1,22543728356,69371,11413,19.7,2141367,1240,4690,20230322
2,2,11,OLD,20210544,웅남이,2023-03-22,231325864,16.3,224157864,3127.2,258464864,27676,26652,2602.7,31537,766,2983,20230322
3,3,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,84709097,6.0,-3204020,-3.6,43090103568,8265,-290,-3.4,4181270,563,1252,20230322
4,4,-1,OLD,20197654,소울메이트,2023-03-15,74333845,5.2,2944098,4.1,1372477011,8119,242,3.1,141832,509,1107,20230322
5,5,0,NEW,20224780,모나리자와 블러드 문,2023-03-22,47921776,3.4,47921776,100,55172776,5492,5492,100,6081,369,666,20230322
6,6,14,OLD,20230767,파벨만스,2023-03-22,46344516,3.3,40974516,763,97929598,4837,4454,1162.9,9081,411,789,20230322
7,7,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,56538600,4.0,27279700,93.2,6215491200,4800,2196,84.3,505251,184,439,20230322
8,8,-2,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,23736194,1.7,-2347683,-9,742466114,2398,-269,-10.1,71737,215,376,20230322
9,9,-1,OLD,20230199,플레인,2023-03-15,12964493,0.9,-4196496,-24.5,290170527,1846,-208,-10.1,31346,171,214,20230322
10,10,-6,OLD,20230081,샤잠! 신들의 분노,2023-03-15,18611990,1.3,-8717939,-31.9,749368376,1812,-934,-34,70673,254,340,20230322
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,586810185,57.0,-57179820,-8.9,21832880305,57958,-5001,-7.9,2071996,1311,4850,20230321
2,2,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,87913117,8.5,-8207195,-8.5,43005394471,8555,-808,-8.6,4173005,615,1439,20230321
3,3,0,OLD,20197654,소울메이트,2023-03-15,71389747,6.9,2131521,3.1,1298143166,7877,706,9.8,133713,619,1752,20230321
4,4,1,OLD,20230081,샤잠! 신들의 분노,2023-03-15,27329929,2.7,-2303724,-7.8,730756386,2746,-236,-7.9,68861,530,1010,20230321
5,5,1,OLD,20208962,대외비,2023-03-01,25718085,2.5,-2046593,-7.4,7389635358,2675,-290,-9.8,747666,395,641,20230321
6,6,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,26083877,2.5,-743006,-2.8,718729920,2667,-63,-2.3,69339,199,344,20230321
7,7,-3,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,29258900,2.8,-4294300,-12.8,6158952600,2604,-388,-13,500451,241,490,20230321
8,8,0,OLD,20230199,플레인,2023-03-15,17160989,1.7,-1472800,-7.9,277206034,2054,84,4.3,29500,281,452,20230321
9,9,5,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,11472400,1.1,6118400,114.3,222049600,1938,1233,174.9,25766,134,175,20230321
10,10,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,42476500,4.1,6984500,19.7,5231344000,1770,291,19.7,216330,53,102,20230321
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,643990005,59.2,-2387852202,-78.8,21246070120,62959,-233283,-78.7,2014038,1297,4906,20230320
2,2,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,96120312,8.8,-280101020,-74.5,42917481354,9363,-26277,-73.7,4164450,601,1446,20230320
3,3,0,OLD,20197654,소울메이트,2023-03-15,69258226,6.4,-204452113,-74.7,1226753419,7171,-19297,-72.9,125836,612,1835,20230320
4,4,1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,33553200,3.1,-99731400,-74.8,6129693700,2992,-8711,-74.4,497847,235,500,20230320
5,5,-1,OLD,20230081,샤잠! 신들의 분노,2023-03-15,29633653,2.7,-124046207,-80.7,703426457,2982,-11483,-79.4,66115,543,1063,20230320
6,6,2,OLD,20208962,대외비,2023-03-01,27764678,2.6,-45722434,-62.2,7363917273,2965,-4210,-58.7,744991,403,674,20230320
7,7,0,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,26826883,2.5,-51420476,-65.7,692646043,2730,-4827,-63.9,66672,198,339,20230320
8,8,1,OLD,20230199,플레인,2023-03-15,18633789,1.7,-28097289,-60.1,260045045,1970,-2754,-58.3,27446,299,485,20230320
9,9,0,NEW,20210544,웅남이,2023-03-22,13811000,1.3,13811000,100,19971000,1965,1965,100,2837,9,9,20230320
10,10,1,OLD,20230495,아임 히어로 더 파이널,2023-03-01,35492000,3.3,-41831500,-54.1,5188867500,1479,-1743,-54.1,214560,53,99,20230320
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,3031842207,66.4,-217052148,-6.7,20602080115,296242,-18195,-5.8,1951079,1456,5820,20230319
2,2,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,376221332,8.2,-243101280,-39.3,42821361042,35640,-21234,-37.3,4155087,701,1751,20230319
3,3,0,OLD,20197654,소울메이트,2023-03-15,273710339,6.0,-48515347,-15.1,1157495193,26468,-5581,-17.4,118665,710,2453,20230319
4,4,0,OLD,20230081,샤잠! 신들의 분노,2023-03-15,153679860,3.4,-52694536,-25.5,673792804,14465,-4716,-24.6,63133,684,1745,20230319
5,5,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,133284600,2.9,-27451300,-17.1,6096140500,11703,-2313,-16.5,494855,270,628,20230319
6,6,0,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,90594500,2.0,-13926200,-13.3,205223200,9908,-1863,-15.8,23123,234,511,20230319
7,7,0,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,78247359,1.7,-22682987,-22.5,665819160,7557,-2034,-21.2,63942,210,370,20230319
8,8,0,OLD,20208962,대외비,2023-03-01,73487112,1.6,-15191276,-17.1,7336152595,7175,-1526,-17.5,742026,514,867,20230319
9,9,1,OLD,20230199,플레인,2023-03-15,46731078,1.0,-12757000,-21.4,241411256,4724,-1216,-20.5,25476,346,579,20230319
10,10,1,OLD,20227684,멍뭉이,2023-03-01,31308078,0.7,-8661002,-21.7,1533590401,3278,-1666,-33.7,162767,197,231,20230319
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,3248894355,60.4,2168251703,200.6,17570237908,314437,212716,209.1,1654837,1439,5924,20230318
2,2,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,619322612,11.5,457376150,282.4,42445139710,56874,41873,279.1,4119447,692,1779,20230318
3,3,0,OLD,20197654,소울메이트,2023-03-15,322225686,6.0,181885142,129.6,883784854,32049,17900,126.5,92197,715,2594,20230318
4,4,0,OLD,20230081,샤잠! 신들의 분노,2023-03-15,206374396,3.8,119552266,137.7,520112944,19181,11168,139.4,48668,716,1962,20230318
5,5,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,160735900,3.0,93438300,138.8,5962855900,14016,8330,146.5,483152,278,643,20230318
6,6,0,NEW,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,104520700,1.9,104520700,100,114628700,11771,11771,100,13215,227,508,20230318
7,7,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,100930346,1.9,60037857,146.8,587571801,9591,5667,144.4,56385,201,370,20230318
8,8,-2,OLD,20208962,대외비,2023-03-01,88678388,1.6,34234134,62.9,7262665483,8701,3207,58.4,734851,529,933,20230318
9,9,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,197357000,3.7,137829000,231.5,5076052000,7685,5203,209.6,209859,55,114,20230318
10,10,-3,OLD,20230199,플레인,2023-03-15,59488078,1.1,19423307,48.5,194680178,5940,1728,41,20752,358,618,20230318
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1080642652,58.4,491994830,83.6,14321343553,101721,43927,76,1340400,1298,4954,20230317
2,2,1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,161946462,8.7,62605588,63,41825817098,15001,5366,55.7,4062573,639,1511,20230317
3,3,-1,OLD,20197654,소울메이트,2023-03-15,140340544,7.6,39831873,39.6,561559168,14149,3391,31.5,60148,749,2454,20230317
4,4,0,OLD,20230081,샤잠! 신들의 분노,2023-03-15,86822130,4.7,15211508,21.2,313738548,8013,1061,15.3,29487,718,1865,20230317
5,5,2,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,67297600,3.6,22961200,51.8,5802120000,5686,1756,44.7,469136,255,567,20230317
6,6,-1,OLD,20208962,대외비,2023-03-01,54444254,2.9,5464491,11.2,7173987095,5494,427,8.4,726150,511,947,20230317
7,7,-1,OLD,20230199,플레인,2023-03-15,40064771,2.2,-2543672,-6,135192100,4212,-513,-10.9,14812,347,654,20230317
8,8,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,40892489,2.2,15843904,63.3,486641455,3924,1440,58,46794,151,209,20230317
9,9,-1,OLD,20230495,아임 히어로 더 파이널,2023-03-01,59528000,3.2,-22830000,-27.7,4878695000,2482,-950,-27.7,202174,55,104,20230317
10,10,0,OLD,20239573,서치 2,2023-02-22,14588580,0.8,1254170,9.4,3975527420,1449,-12,-0.8,403997,171,225,20230317
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,588647822,48.5,-243428737,-29.3,13240700901,57794,-24830,-30.1,1238679,1227,4446,20230316
2,2,0,OLD,20197654,소울메이트,2023-03-15,100508671,8.3,-80986293,-44.6,421218624,10758,-9481,-46.8,45999,729,2293,20230316
3,3,1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,99340874,8.2,960977,1,41663870636,9635,81,0.8,4047572,601,1339,20230316
4,4,-1,OLD,20230081,샤잠! 신들의 분노,2023-03-15,71610622,5.9,-63845174,-47.1,226916418,6952,-6312,-47.6,21474,734,1848,20230316
5,5,0,OLD,20208962,대외비,2023-03-01,48979763,4.0,-8234408,-14.4,7119542841,5067,-1923,-27.5,720656,478,865,20230316
6,6,0,OLD,20230199,플레인,2023-03-15,42608443,3.5,-8490443,-16.6,95127329,4725,-1008,-17.6,10600,335,622,20230316
7,7,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,44336400,3.7,-15128000,-25.4,5734822400,3930,-1452,-27,463450,242,541,20230316
8,8,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,82358000,6.8,-26141500,-24.1,4819167000,3432,-1089,-24.1,199692,52,101,20230316
9,9,0,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,25048585,2.1,7422400,42.1,445748966,2484,715,40.4,42870,123,174,20230316
10,10,2,OLD,20239573,서치 2,2023-02-22,13334410,1.1,1657520,14.2,3960938840,1461,217,17.4,402548,148,186,20230316
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,832076559,50.6,178040718,27.2,12652053079,82624,21022,34.1,1180885,1234,4502,20230315
2,2,13,OLD,20197654,소울메이트,2023-03-15,181494964,11.0,164307975,956,320709953,20239,18831,1337.4,35241,746,2581,20230315
3,3,13,OLD,20230081,샤잠! 신들의 분노,2023-03-15,135455796,8.2,115605796,582.4,155305796,13264,12006,954.4,14522,799,2325,20230315
4,4,-2,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,98379897,6.0,-8754746,-8.2,41564529762,9554,-1059,-10,4037937,605,1320,20230315
5,5,-2,OLD,20208962,대외비,2023-03-01,57214171,3.5,-37797287,-39.8,7070563078,6990,-2922,-29.5,715589,494,901,20230315
6,6,0,NEW,20230199,플레인,2023-03-15,51098886,3.1,51098886,100,52518886,5733,5733,100,5875,340,668,20230315
7,7,-3,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,59464400,3.6,-4199000,-6.6,5690486000,5382,-305,-5.4,459520,246,548,20230315
8,8,-3,OLD,20230495,아임 히어로 더 파이널,2023-03-01,108499500,6.6,17522000,19.3,4736809000,4521,730,19.3,196260,51,101,20230315
9,9,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,17626185,1.1,-4508688,-20.4,420700381,1769,-417,-19.1,40386,76,108,20230315
10,10,1,OLD,20230200,똑똑똑,2023-03-08,8261100,0.5,-9415809,-53.3,253342125,1452,-612,-29.7,26524,47,56,20230315
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,654035841,49.6,-27668766,-4.1,11819976520,61602,-2579,-4,1098261,1333,5104,20230314
2,2,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,107134643,8.1,-5460166,-4.8,41466149865,10613,-312,-2.9,4028383,637,1538,20230314
3,3,0,OLD,20208962,대외비,2023-03-01,95011458,7.2,-4029717,-4.1,7013348907,9912,-314,-3.1,708599,681,1979,20230314
4,4,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,63663400,4.8,-10839700,-14.5,5631021600,5687,-925,-14,454138,284,856,20230314
5,5,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,90977500,6.9,21026500,30.1,4628309500,3791,873,29.9,191739,71,267,20230314
6,6,0,NEW,20230608,틸,2023-03-22,32040000,2.4,32040000,100,32040000,3560,3560,100,3560,14,14,20230314
7,7,17,OLD,20229551,상견니,2023-01-25,22424700,1.7,20007100,827.6,3557837038,2329,2105,939.7,356474,48,68,20230314
8,8,-1,OLD,20227684,멍뭉이,2023-03-01,20445680,1.6,2466487,13.7,1438081757,2299,372,19.3,151836,327,488,20230314
9,9,-3,OLD,20239573,서치 2,2023-02-22,22221431,1.7,1140956,5.4,3935927540,2217,91,4.3,399843,353,497,20230314
10,10,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,22134873,1.7,8684481,64.6,403074196,2186,882,67.6,38617,96,111,20230314
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,681704607,56.5,-2212889546,-76.4,11165940679,64181,-208434,-76.5,1036659,1317,5196,20230313
2,2,1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,112594809,9.3,-293243654,-72.3,41359015222,10925,-28061,-72,4017770,638,1588,20230313
3,3,-1,OLD,20208962,대외비,2023-03-01,99041175,8.2,-307703516,-75.7,6918337449,10226,-29242,-74.1,698687,685,2043,20230313
4,4,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,74503100,6.2,-241497000,-76.4,5567358200,6612,-21188,-76.2,448451,277,880,20230313
5,5,3,OLD,20230495,아임 히어로 더 파이널,2023-03-01,69951000,5.8,-83446000,-54.4,4537332000,2918,-3476,-54.4,187948,70,259,20230313
6,6,0,OLD,20239573,서치 2,2023-02-22,21080475,1.7,-71355734,-77.2,3913706109,2126,-6815,-76.2,397626,345,494,20230313
7,7,-2,OLD,20227684,멍뭉이,2023-03-01,17979193,1.5,-95118329,-84.1,1417636077,1927,-9864,-83.7,149537,308,456,20230313
8,8,-1,OLD,20230209,앤트맨과 와스프: 퀀텀매니아,2023-02-15,16600749,1.4,-52399184,-75.9,16276220379,1651,-4937,-74.9,1544233,329,457,20230313
9,9,1,OLD,20230200,똑똑똑,2023-03-08,12527689,1.0,-26107001,-67.6,227404116,1322,-2400,-64.5,23008,344,551,20230313
10,10,-1,OLD,20193706,카운트,2023-02-22,12597590,1.0,-41878869,-76.9,3655638236,1306,-4040,-75.6,383401,276,367,20230313
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,2894594153,60.2,-383887464,-11.7,10484236072,272615,-32725,-10.7,972478,1486,6150,20230312
2,2,1,OLD,20208962,대외비,2023-03-01,406744691,8.5,4767612,1.2,6819296274,39468,234,0.6,688461,765,2616,20230312
3,3,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,405838463,8.4,-59351502,-12.8,41246420413,38986,-5063,-11.5,4006845,690,1786,20230312
4,4,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,316000100,6.6,-109462500,-25.7,5492855100,27800,-8558,-23.5,441839,322,1067,20230312
5,5,0,OLD,20227684,멍뭉이,2023-03-01,113097522,2.4,14375602,14.6,1399656884,11791,1480,14.4,147610,460,719,20230312
6,6,0,OLD,20239573,서치 2,2023-02-22,92436209,1.9,-7961593,-7.9,3892625634,8941,-753,-7.8,395500,424,659,20230312
7,7,1,OLD,20230209,앤트맨과 와스프: 퀀텀매니아,2023-02-15,68999933,1.4,-5500500,-7.4,16259619630,6588,-432,-6.2,1542582,415,651,20230312
8,8,-1,OLD,20230495,아임 히어로 더 파이널,2023-03-01,153397000,3.2,-47671500,-23.7,4467381000,6394,-1987,-23.7,185030,74,283,20230312
9,9,0,OLD,20193706,카운트,2023-02-22,54476459,1.1,9803793,21.9,3643040646,5346,940,21.3,382095,397,541,20230312
10,10,0,OLD,20230200,똑똑똑,2023-03-08,38634690,0.8,-5232478,-11.9,214876427,3722,-545,-12.8,21686,435,804,20230312
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,3278481617,60.4,1997874825,156,7589641919,305340,189068,162.6,699863,1480,6323,20230311
2,2,1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,465189965,8.6,291001039,167.1,40840581950,44049,27492,166,3967859,706,1858,20230311
3,3,-1,OLD,20208962,대외비,2023-03-01,401977079,7.4,221799902,123.1,6412551583,39234,20893,113.9,648993,771,2669,20230311
4,4,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,425462600,7.8,253326800,147.2,5176855000,36358,21731,148.6,414039,331,1096,20230311
5,5,3,OLD,20227684,멍뭉이,2023-03-01,98721920,1.8,70459859,249.3,1286559362,10311,7232,234.9,135819,448,727,20230311
6,6,0,OLD,20239573,서치 2,2023-02-22,100397802,1.8,58025355,136.9,3800189425,9694,5302,120.7,386559,450,681,20230311
7,7,-2,OLD,20230495,아임 히어로 더 파이널,2023-03-01,201068500,3.7,83020500,70.3,4313984000,8381,3462,70.4,178636,78,290,20230311
8,8,-1,OLD,20230209,앤트맨과 와스프: 퀀텀매니아,2023-02-15,74500433,1.4,40666470,120.2,16190619697,7020,3553,102.5,1535994,437,690,20230311
9,9,1,OLD,20193706,카운트,2023-02-22,44672666,0.8,22869680,104.9,3588564187,4406,2125,93.2,376749,382,535,20230311
10,10,-1,OLD,20230200,똑똑똑,2023-03-08,43867168,0.8,13903879,46.4,176241737,4267,1262,42,17964,457,913,20230311
